case,V_m3,h_e_m,entrainment_rate,phi_deg,Manning,historical_reach_m,fraction,max_depth_m,max_speed_m_s,P99_speed_m_s,wet_volume_m3,bdif_state_integral_m3,R3_reached,R4_h010_reached
RECON_B_rate040,10000000.0,8.0,0.4,38.0,0.025,6564.004030557351,0.33307194646566857,57.04943189690005,50.4254685729101,50.199963264957496,14725989.892034568,4842016.997917929,False,False
RECON_B_rate040,10000000.0,8.0,0.4,38.0,0.025,11897.313119347913,0.6036957350917826,50.49105484423011,51.37159743738244,50.36642886957632,20558230.104632556,11449968.926335081,False,False
RECON_B_rate040,10000000.0,8.0,0.4,38.0,0.025,15313.422714979826,0.7770366207859917,86.21466763269316,42.04334614922736,38.31127390501944,23603619.001908135,15525291.993332226,True,False
RECON_B_rate040,10000000.0,8.0,0.4,38.0,0.025,16031.700040707938,0.8134835860633886,73.22541840748663,42.195981115097126,34.44022111906696,24062954.14938962,16299467.50618768,True,False
RECON_B_rate040,10000000.0,8.0,0.4,38.0,0.025,16530.178394522314,0.8387774699188894,68.70287215281932,39.51914096010879,27.744637277580402,24202803.53272163,16508950.596716043,True,False
RECON_B_rate040,10000000.0,8.0,0.4,38.0,0.025,16770.178394522423,0.850955595767025,65.11799221686228,31.091390684585598,24.8250864172119,24305369.099694636,16740061.851141788,True,False
RECON_B_rate040,10000000.0,8.0,0.4,38.0,0.025,17208.954505154194,0.8732200569938031,64.02572003354705,29.643036767440254,23.255290621293444,24342258.908566333,16863306.376860257,True,False
RECON_B_rate040,10000000.0,8.0,0.4,38.0,0.025,17388.954505154434,0.8823536513799128,66.00598586160206,29.246279821654287,22.49419034482306,24377075.858095665,16849471.66168908,True,False
RECON_B_rate040,10000000.0,8.0,0.4,38.0,0.025,17568.954505154372,0.8914872457660072,69.8393410739581,29.033250560705376,21.012196403631066,24416225.009494115,16792705.75937468,True,False
RECON_B_rate040,10000000.0,8.0,0.4,38.0,0.025,17988.95450515425,0.9127989660002286,71.92227828441808,30.599213464051243,20.424554908683135,24461880.827202134,16809370.47385671,True,False
RECON_B_rate040,10000000.0,8.0,0.4,38.0,0.025,18128.95450515445,0.9199028727449813,73.25587215633666,29.69833513335493,19.135072025928064,24510299.29182293,16793915.435520608,True,False
RECON_B_rate060,10000000.0,8.0,0.6,38.0,0.025,2808.2890574905664,0.14249873983352793,42.73863115312497,50.91140486450612,50.588177562027376,11466602.183344586,1497732.4971294403,False,False
