distance_from_source_m,x,y,native_z,z32,z64
5980.0,351791.609257,3133466.6361655304,3172.5556640625,3172.5556640625,3172.5556640625
6000.0,351791.609257,3133486.6361655304,3164.5390625,3164.5390625,3164.5390625
6020.0,351791.609257,3133506.6361655304,3162.802490234375,3162.802490234375,3162.802490234375
6040.0,351791.609257,3133526.6361655304,3162.802490234375,3162.802490234375,3162.802490234375
6060.0,351791.609257,3133546.6361655304,3160.910888671875,3160.910888671875,3160.910888671875
6080.0,351791.609257,3133566.6361655304,3156.917236328125,3156.917236328125,3156.917236328125
6100.0,351791.609257,3133586.6361655304,3156.917236328125,3156.917236328125,3156.917236328125
6120.0,351791.609257,3133606.6361655304,3146.6865234375,3146.6865234375,3146.6865234375
6140.0,351791.609257,3133626.6361655304,3135.714111328125,3135.714111328125,3135.714111328125
6160.0,351791.609257,3133646.6361655304,3135.714111328125,3135.714111328125,3135.714111328125
6180.0,351791.609257,3133666.6361655304,3127.49462890625,3127.49462890625,3127.49462890625
6200.0,351791.609257,3133686.6361655304,3120.8154296875,3120.8154296875,3120.8154296875
6220.0,351791.609257,3133706.6361655304,3116.076416015625,3116.076416015625,3116.076416015625
